track_id,input_artist,input_title,play_count,batch_id,model,identified,confidence,artists,title,mix_name,remixers,featured_artists,record_label,catalog_number,release_title,release_type,release_year,formats,primary_genre,subgenres,bpm_estimate,musical_key,energy,mood_tags,dj_set_role,instrumentation,similar_artists,description,artist_details,parsing_notes
b3736627d0fd,(unknown),Jeff Samuel - Lost,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Jeff Samuel,Lost,,,,,,,unknown,,,other,,,,,,,,,,"[{""name"": ""Jeff Samuel"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist field was '(unknown)', real artist and title extracted from title field 'Jeff Samuel - Lost'."
d08284c45a0e,(unknown),Josh Wink - Thick As Thieves (Original Mix 2007),1,direct,gpt-4.1-mini,True,high,Josh Wink,Thick As Thieves,Original Mix,,,,,,unknown,2007,,techno,acid techno,130,,high,energetic; acidic,peak-time,acid bassline; synth stabs,Richie Hawtin; Carl Cox; Adam Beyer; Green Velvet; Chris Liebing,"""Thick As Thieves"" is a 2007 techno track by Josh Wink, known for its acid techno elements and energetic vibe, typical of his style.","[{""name"": ""Josh Wink"", ""real_name"": ""Joshua Winkelman"", ""aliases"": [], ""country"": ""USA"", ""city"": ""Philadelphia"", ""active_since"": 1990, ""associated_labels"": [""Ovum Recordings"", ""Classic Music Company""], ""associated_acts"": [], ""short_bio"": ""Josh Wink is an American DJ and producer known for his influential work in techno and acid techno since the early 1990s.""}]","Artist was unknown, but the title field contained 'Josh Wink - Thick As Thieves (Original Mix 2007)'. Parsed artist as 'Josh Wink', title as 'Thick As Thieves', mix name as 'Original Mix', and release year as 2007."
d28d8b609287,(unknown),John Gaiser - Seepage,1,direct,gpt-4.1-mini,True,high,John Gaiser,Seepage,,,,,,,unknown,,,tech house,,124,,medium,groovy; deep,any,synth pads; percussion; bassline,Seth Troxler; Maceo Plex; Tale Of Us; Âme; Recondite,"Seepage is a tech house track by John Gaiser, known for his deep and groovy productions with rich synth textures and rhythmic percussion.","[{""name"": ""John Gaiser"", ""real_name"": null, ""aliases"": [], ""country"": ""Germany"", ""city"": ""Berlin"", ""active_since"": 2000, ""associated_labels"": [""Get Physical Music"", ""Cadenza"", ""Katermukke""], ""associated_acts"": [], ""short_bio"": ""John Gaiser is a Berlin-based DJ and producer known for his deep and melodic tech house and house music.""}]","Artist was unknown, but the title field contained 'John Gaiser - Seepage', so artist and title were extracted from the title field."
d7c3a26a2cf1,(unknown),John Gaiser - Half Life,1,direct,gpt-4.1-mini,True,high,John Gaiser,Half Life,,,,,,,unknown,,,tech house,,124,,medium,groovy,any,synths; drum machine,Seth Troxler; Maceo Plex; Loco Dice; Solomun; Tale Of Us,"Half Life is a tech house track by John Gaiser, known for his groovy and melodic productions.","[{""name"": ""John Gaiser"", ""real_name"": null, ""aliases"": [], ""country"": ""Germany"", ""city"": ""Berlin"", ""active_since"": 2000, ""associated_labels"": [""Get Physical Music"", ""Cadenza"", ""Playhouse""], ""associated_acts"": [], ""short_bio"": ""John Gaiser is a Berlin-based DJ and producer known for his melodic and groovy tech house and house music.""}]","Artist was unknown, but the title field contained 'John Gaiser - Half Life', so artist and title were extracted from the title field."
ddc6d788b00e,(unknown),innersphere_phunk_angellomi,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Innersphere Phunk,Angellomi,,,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Innersphere Phunk"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","The artist field was '(unknown)', so the title was parsed as 'innersphere_phunk_angellomi'. Underscores were replaced with spaces, splitting into artist 'Innersphere Phunk' and track title 'Angellomi'. No further metadata could be identified."
df049a466f7c,(unknown),Heartthrob - Baby Kate Magda S Where S My Baby Daddy Remix,1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,False,low,Heartthrob,Baby Kate Magda S Where S My Baby Daddy Remix,,,,,,,unknown,,,tech house,,,,,,,,,,"[{""name"": ""Heartthrob"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist field was '(unknown)', so extracted 'Heartthrob' as artist from the title field. The rest of the title was taken as the track title. No clear remix name separated, so kept full title as is."
eb086ee59483,(unknown),Marco Carola - Long Jump,1,direct,gpt-4.1-mini,True,high,Marco Carola,Long Jump,,,,,,,unknown,,,techno,minimal techno,125,,high,groovy; hypnotic,peak-time,percussion; synths,Ricardo Villalobos; Loco Dice; Dubfire; Joseph Capriati; Sven Väth,"Long Jump is a well-known minimal techno track by Marco Carola, characterized by its groovy percussion and hypnotic synth patterns, typical of his style.","[{""name"": ""Marco Carola"", ""real_name"": ""Marco Carola"", ""aliases"": [], ""country"": ""Italy"", ""city"": ""Naples"", ""active_since"": 1990, ""associated_labels"": [""Minus"", ""Music On"", ""Zenit""], ""associated_acts"": [], ""short_bio"": ""Marco Carola is an Italian DJ and producer known for his influential role in minimal techno and tech house since the 1990s.""}]","Artist field was '(unknown)', real artist and title extracted from the title field 'Marco Carola - Long Jump'."
ebfbbcc93095,(unknown),Marco Carola - Re_Solution,1,direct,gpt-4.1-mini,False,low,Marco Carola,Re_Solution,,,,,,,unknown,,,techno,,,,,,,,Ricardo Villalobos; Loco Dice; Dubfire; Joseph Capriati; Adam Beyer,,"[{""name"": ""Marco Carola"", ""real_name"": null, ""aliases"": [], ""country"": ""Italy"", ""city"": ""Naples"", ""active_since"": 1990, ""associated_labels"": [""Music On"", ""Zenit"", ""Do.Mi.No.""], ""associated_acts"": [], ""short_bio"": ""Marco Carola is an Italian DJ and producer known for his minimal techno and tech house productions and his influential role in the electronic music scene since the 1990s.""}]","Artist field was '(unknown)', real artist and title extracted from the title field by splitting on ' - '. Underscore in title preserved as is."
ee58b44ea79c,(unknown),LOCODICE - A chico a rhytmico,1,direct,gpt-4.1-mini,False,low,Locodice,A chico a rhytmico,,,,,,,unknown,,,tech house,,124,,medium,groovy,any,,Loco Dice; Pan-Pot; Solomun; Maceo Plex; Claptone,,"[{""name"": ""Locodice"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}]","Artist was '(unknown)', real artist and title extracted from title field 'LOCODICE - A chico a rhytmico'. Artist name cleaned to 'Locodice'. No remix or mix info found."
ffa5558f5a00,(unknown),Heartthrob - Baby Kate (Konrad Black Remix),1,batch_6ab2e1ec9da08190b6220c0500f1448e,gpt-4.1-mini,True,high,Heartthrob,Baby Kate,Konrad Black Remix,Konrad Black,,,,,unknown,,,tech house,deep tech house,124,,medium,groovy; deep,peak-time,vocal sample; deep bassline,Maceo Plex; Seth Troxler; Loco Dice; Dubfire; Richie Hawtin,"""Baby Kate"" is a track by Heartthrob, here presented in a remix by Konrad Black. It features deep tech house elements with groovy rhythms and vocal samples, typical for the mid-2000s tech house scene.","[{""name"": ""Heartthrob"", ""real_name"": null, ""aliases"": [], ""country"": null, ""city"": null, ""active_since"": null, ""associated_labels"": [], ""associated_acts"": [], ""short_bio"": null}, {""name"": ""Konrad Black"", ""real_name"": null, ""aliases"": [], ""country"": ""Canada"", ""city"": null, ""active_since"": 2000, ""associated_labels"": [""Poker Flat"", ""Cadenza""], ""associated_acts"": [], ""short_bio"": ""Konrad Black is a Canadian DJ and producer known for his deep and groovy tech house productions, active since the early 2000s.""}]","Artist was '(unknown)', real artist and track info extracted from title field. 'Heartthrob - Baby Kate (Konrad Black Remix)' parsed into artist 'Heartthrob', title 'Baby Kate', remix by 'Konrad Black'."
